page,link,text
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/vicepresidente-del-prm-cree-complejo-tema-planteado-propuesta-jce-paridad-candidaturas/,"El Viajero Diugital 28 de mayo 2022

Santo Domingo

El Doctor Eddy Olivares Ortega considera necesaria la modificación de lasLeyes 15-19 Orgánica de Régimen Electoral y la 33-18 de Organizaciones Políticas de la República Dominicana en el actual momento en que se procura justo a dos años para la celebración de las elecciones generales del 2024.

El también ex juez de la Junta Central Electoral dijo que hay que corregir algunas fallas que se produjeron al momento de su aprobación producto de que se hizo en un tiempo inoportuno en medio de unaprecampaña, en el caso de la Ley de Partidos sin la Ley Electoral.

El además alto dirigente político del Partido Revolucionario Moderno (PRM), expresó que esto generó esos errores que hay que corregir.

El doctor Eddy Olivares Ortega emitió sus consideraciones al participar como invitado en el programa de televisión Primerísimas que produce y conduce la periodista Yolanda Tapia, por más de 20 años, por el canal 19 de Cinevisión canal 19 y Dominican NetWork, Estados Unidos además de los medios digitales en la Web, cada sábado a las 9 de la mañana y en tiempo real.

“Es importante que se haga, y además porque los sistemas y procesos electores se mantienen en un constante cambioy por lo tanto la legislación debe contemplarlos”, enfatizó.

Explicó que ahora mismo la Junta Central Electoral en su reciente propuesta ha tocado temas tan importantes y sensibles como el relativo a la organización de los procesosinternos de los partidos políticos.

Preciso que el organismo electoral ha planteado renunciar a esa facultad que le da la ley que es algo, a su entender, que no va a ocurrir y que tampoco era prudente que ellos lo plantearan.

Sostuvo el dirigente perremeista, que igual ocurre con el tema del voto preferencial que no debió haber sido planteado por el organismo electoral porque es de mucho interés de los propios partidos.

Subrayó que laJunta Electoral ha sido insistente también entocar el tema del 50 más uno, “como sabemos está en el 40 de cuota de género y entonces ha planteado en su propuesta la paridad de las candidaturas, entonces es un tema para los partidos bastante complejo”, añadió.

Añadió que el tema del financiamiento público que se ha tocado y el los limites a los gastos son importantes y que hay que sintonizar o replantear de una manera correcta en las legislaciones electorales

Comparte esto: Twitter

Facebook

"
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/category/politica/,"Miami, FL.- Luego de una amplia agenda de trabajo en el Estado de la Florida, el presidente de la Fuerza..."
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/category/principales/,Como parte de la cartelera artística que durante la celebración de la “Noche Larga de Museos” se desarrollará en la...
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/leonel-fernandez-viaja-este-miercoles-a-chicago-donde-se-encontrara-con-ex-presidentes/,"Miami, FL.- Luego de una amplia agenda de trabajo en el Estado de la Florida, el presidente de la Fuerza del Pueblo, Leonel Fernández, viaja este miércoles a Chicago, donde se encontrará con varios ex -presidentes latinoamericanos.

Durante el miércoles 20, jueves 21 y viernes 22, Fernández realizará diversas actividades en Chicago, entre las que se incluye un encuentro con los expresidentes Ricardo Lagos de Chile, Laura Chinchilla de Costa Rica, y Ernesto Zedillo de México.

En su visita a la ciudad de los Bulls, Fernández, hará una visita de cortesía al gobernador del Estado de Illinois, J.B. Pritzker y también será recibido por la alcaldesa de la ciudad de Chicago, Hon. Lori Lighfoot.

Además, el presidente de FP se reunirá con estudiantes y egresados de la Escuela de Políticas Públicas Harris de la Universidad de Chicago.

El ex mandatario sostendrá un encuentro con Raj Echembadi, presidente del Instituto de Tecnología de Illinois (IIT), y participará de la conferencia Democracy and Economic Development in Latin America.

Comparte esto: Twitter

Facebook

"
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/category/sin-categoria/,"Miami, FL.- Luego de una amplia agenda de trabajo en el Estado de la Florida, el presidente de la Fuerza..."
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/leonel-afirma-gobierno-quiere-aprovechar-la-crisis-mundial-para-justificar-dificil-situacion-economica-que-vive-el-pais/,"El ex presidente Leonel Fernández declaró que reconoce que hay una crisis mundial, pero aseguró que quienes gobiernan no pueden aprovecharse de la misma para justificar la situación actual de la República Dominicana, en donde la inflación es tres veces mayor que la de Costa Rica, Colombia, Perú, Chile y Panamá.

Fernández indicó que en el gobierno se están cometiendo errores», lo que hace que el alto costo de la vida sea «una penuria permanente para los pobres».

“Para los que dirigen a su pueblo, los que dirigen naciones, las crisis no constituyen justificaciones del fracaso. La historia nos enseña que los grandes liderazgos se construyen en medio de grandes crisis.

El ex mandatario opinó que el actual gobierno no entiende los problemas de la República Dominicana y por este motivo no busca soluciones a los mismos.

Señaló que actualmente todo está subiendo de precio. «Está ocurriendo en todo, es el pollo, es la leche, son los plátanos, son los huevos, es la batata, es el ñame. Esto no lo aguanta nadie, esto no lo aguanta nadie”, enfatizó.

Fernández habló en un acto en el Club Deportivo y Cultural Framboyán, en el sector de Los Mina, en el cual juramentó como miembros de la FP al diputado Rafael Castillo y a los regidores Wilson Báez y Walkia Medina, ambos de la circunscripción número 2 de Santo Domingo Este así como a Ramón de los Santos, quien también era presidente de un comité intermedio del PLD.

Ramón Peralta, Julio de la Rosa, Marcial Alcántara, Hilario Ortiz, Germán Paredes, Andrés Castillo, Rafael Reyes y Misael Lachapel, quienes eran dirigentes del PLD.

Recordó las palabras del primer ministro del Reino Unido, Winston Churchill, quien en un discurso en la primavera de 1940, antes del estallido de la Segunda Guerra Mundial, dijo: «Tenemos que prepararnos porque los tiempos son difíciles. Lo único que les ofrezco es sangre, sudor y lágrimas, pero al tiempo que ofrezco eso, le digo al pueblo inglés: llegaremos hasta el final, lucharemos en Francia, lucharemos en los mares y océanos, lucharemos con creciente confianza y creciente fuerza en el aire, defenderemos nuestra isla, cualquiera que sea el coste; lucharemos en las playas, lucharemos en los aeródromos, lucharemos en los campos y en las calles, lucharemos en las colinas, nunca nos rendiremos…».

Declaró que así finalmente los ingleses y los aliados derrotaron a los nazis durante la Segunda Guerra Mundial.

REMEMORA SU VUELTA AL GOBIERNO EN 2004

Refirió que cuando en el año 2004 a él (Leonel) le tocó llegar al gobierno, “veníamos de una crisis bancaria, quiebra de bancos en la República Dominicana, se había devaluado el peso frente al dólar y todo subió de precio, pero afrontamos la crisis y el valor del dólar, de 58 por 1, descendió a 28 por 1 y al mismo tiempo los precios bajaron de todos los productos de la canasta familiar”.

“Se desató otra crisis, empezaron a quebrar bancos en los Estados Unidos, empezaron a quebrar bancos. En Europa, la crisis financiera global subió el petróleo a 147 dólares el barril, estaban subiendo los precios de los alimentos, pero ¿qué hicimos nosotros?, subsidiamos los precios de los alimentos, le dimos apoyo al Plan Social de la Presidencia, nos inventamos unas unidades móviles de los comedores populares que circulaban por toda la república, y fueron tan útiles, que cuando vino el terremoto de Haití, fue la República Dominicana que ayudó a Haití a resolver el problema alimentario con esas unidades móviles”, agregó.

TASA CERO ARANCELARIA

Respecto al proyecto de ley enviado por el Poder Ejecutivo al Congreso Nacional para aplicar una «tasa cero arancelaria» a una serie de productos, bienes y servicios, dijo que el gobierno se ha equivocado.

“Se han equivocado; nosotros aquí producimos pollo, lo que hay que importar a tasa cero es el maíz, para que se produzca pollo y huevos en República Dominicana» y la oferta de los mismos sea mayor que la demanda, de forma tal que los precios disminuyan”, enfatizó.

Alegó Fernández que tampoco “el tema es importar leche en polvo» sino apoyar a los ganaderos para que produzcan más leche, y aumentar el subsidio a este sector.

«El tema no es importar pastas alimenticias; importen trigo para que en los molinos se pueda procesar y se produzca el pan en la República Dominicana”, dijo.

Comparte esto: Twitter

Facebook

"
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/quique-antun-dice-prsc-busca-constituirse-en-respuesta-a-problematica-afecta-a-los-pobres/,"Santo Domingo

El presidente del Partido Reformista Social Cristiano (PRSC), Federico Antún Batlle (Quique), declaró hoy que aunque esa organización política colapsó en las pasadas elecciones, su esencia de principios y valores y la misma impronta de esa entidad, busca constituirse en la respuesta de la problemática que afecta a la mayoría de la población dominicana.

“Aunque el PRSC colapsó en las pasadas elecciones, debo decirlo con toda sinceridad, tal vez por habernos equivocado, pretendemos constituirnos en la respuesta de los más pobres de este país”, dijo.

Sostuvo que por las circunstancias del mundo y de la propia República Dominicana han surgido una serie de circunstancias “que nos obligan crear las respuestas que el país necesita”.

“El tránsito del Partido Reformista en estos momentos, como lo hemos diseñado, es celebrar su VI Congreso Joaquín Balaguer para hacer una definición sobre cómo electoralmente nos vamos a presentar en las elecciones del 2024”, expresó.

Quique Antún señaló que el país enfrenta en estos momentos serias dificultades, como el endeudamiento externo excesivo, una migración haitiana que ha copado todo el territorio dominicano con la complicidad de todos los gobiernos “y mucho aguaje y pocas soluciones”.

“Aquí se habla mucho, pero hacemos poco”, resaltó el líder reformista, quien habló al finalizar un concurrido encuentro en la sede de esa organización, en el participaron dirigentes del Distrito Nacional, la provincia Santo Domingo, Monte Plata y San Cristóbal, para definir temas relacionados con el VI Congreso Joaquín Balaguer.

Aclaró que esa problemática no solo es responsabilidad de los políticos, sino de todos los sectores.

“Aquí todo el mundo está halando para su lado, los empresarios queriéndose hacer más ricos cada día en una situación de miseria de un pueblo que quiere más respuesta”, agregó.

Sobre la posición del Partido Reformista de una eventual reforma constitucional, respondió que “no es un momento de nosotros hablar de reforma a la Carta Magna”.

En ese sentido, recordó que esa entidad política hizo un planteamiento de una reforma constitucional antes de las pasadas elecciones “y nos satanizaron”.

“Pienso que hay cosas que se pueden hacer y cosas que no se pueden hacer, si hay buenas voluntad; ahora, cuando todo el mundo lo que quiere es politizar el tema, aprovecharse de la circunstancia, entonces le estamos haciendo daño al país”, resaltó.

El presidente del PRSC siguió diciendo que por ejemplo, celebrar dos elecciones, como se hizo, “le costó muchos millones de pesos al pueblo dominicano y nosotros lo advertimos”

Pero la gente –señaló- no mira para acá porque aquí lo que se está es en chercha. Y el país va a sentir en carne viva lo que está aconteciendo. Y entonces mirará para donde tiene que mirar en el momento oportuno.

Comparte esto: Twitter

Facebook

"
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/guido-gomez-mazara-dice-buscara-la-via-legal-por-la-convencion-de-delegados-del-prm/,"El dirigente político Guido Gómez Mazara mostró su oposición a la convención del Partido Revolucionario Moderno (PRM), la cual fue decidida a celebrarse como una «convención de delegados» para seleccionar sus autoridades internas.

«Nuestros reclamos se harán con tranquilidad, sin estridencia y en el marco de la legalidad y en ningún momento quisiera que se malinterprete el derecho a profundizar las conquistas democráticas con reproducir los esquemas del viejo partido, donde los procesos se transforman en odio, insultos y calificaciones personales», dijo.

Gómez Mazara en conjunto con los profesionales del derecho Katia Miguelina Jiménez, Nassef Perdomo, Manuel Olivero y Domingo Rojas Pereyra, se preparan para ser los encargados de llevar el proceso legal en caso de continuar el partido de gobierno en la línea de la convención interna.

De rectificarse el método por delegados, los profesionales del derecho se dirigirán al Tribunal Superior Electoral y al Tribunal Constitucional de la República.

Guido advirtió que transformar el método de elección directo, secreto y universal por una «convención de empleados» como calificó la actual decisión, expresa los rasgos autoritarios y carentes de respeto a los derechos de los sectores populares.

“Estoy comprometido de arriba hasta abajo con la gestión del presidente de la República y con el Partido Revolucionario Moderno para que en las próximas jornadas democráticas en el país derrotemos a los enemigos tradicionales del partido”, acotó Guido Gómez.

También especificó que los ejercicios de discrepancia de manera democrática es un legado que hay que defender siempre.

“Quienes están en el Consejo Económico y Social (CES) discutiendo la posibilidad de una reforma constitucional para la conquista de derechos ciudadanos no puede ser el partido que a lo interno de su organización conculque derechos fundamentales, eso es una contradicción”, expresó el político.

Para Mazara el presidente Luis Abinader es un líder político del siglo 21, a su vez añadió: “El país no solo cambió por un eslogan de campaña, dos, tres, cuatro… y una minoría pretende mantenerse en la dirección del partido al margen de la valoración de la base, porque entiende que es lo que más le acomoda. La legitimidad se construye cuando es respaldada por la base del partido”.

Estableció que moverá las bases del PRM en diferentes puntos del país.

Gómez Mazara expresó que abogados, en aquel entonces dentro del Partido Revolucionario Dominicano (PRD), junto con su persona, ganaron sentencias favorables en temas de discusión democrática, y a la fecha son funcionarios del gobierno actual.

Mencionó el caso de Antoliano Peralta, hoy Consultor Jurídico; Luis Soto, del Departamento Nacional de Investigación; y Andrés Astacio, presidente de la Corporación Nacional de Empresas Estatales.

Comparte esto: Twitter

Facebook

"
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/leonel-fernandez-dice-que-se-debe-colocar-el-interes-colectivo-del-pueblo-dominicano-por-encima-de-emociones-particulares/,"Santo Domingo 22 de diciembre

El presidente de la Fuerza del Pueblo, Leonel Fernández, envió esta tarde un mensaje de paz y armonía a miembros de su partido, al encabezar el último encuentro navideño, de los llamados «Encuentros de la confraternidad», celebrados en distintos puntos de la geografía nacional.

Fernández dijo, “Estamos conscientes de que entre compañeros nuestros que están aquí y antiguos compañeros del viejo partido existían frisiones, discrepancias, diferencias, y yo sé que a veces hay elementos emocionales que uno no puede superar, pero debemos superar eso, tenemos que colocar el interés colectivo del pueblo dominicano por encima de nuestras emociones particulares y personales».

Según las palabras en la actividad que reunió a dirigentes de las circunscripciones del Gran Santo Domingo, la única forma de lograr subir las escalinatas del Palacio Nacional es abriendo las puertas del partido a todas las personas que quieran venir.

*Calidad del padrón depositado ante la JCE*

Con relación al padrón de la Fuerza del Pueblo depositado ante la Junta Central Electoral, dijo que es un padrón serio y sin exageraciones.

“Cuando se cae en la exageración, cuando se quiere presentar lo que no se tiene, se cae en el absurdo y en la irracionalidad. Calculando a los ciudadanos que los demás partidos han registrado en los padrones que han entregado a la Junta Central Electoral, hemos descubierto una terrible paradoja, ahora hay más inscritos en esos partido que electores en el padrón de la JCE», expresó Fernandez.

Continuó su discurso diciendo: «Se trata por consiguiente de bromas, no son padrones, son bromas. Quienes tienen el único padrón serio, que dice lo que es, el padrón de la Fuerza del Pueblo”.

“Al ser honesto y sincero, al decir exactamente lo que somos y lo que tenemos, es la única fuerza que puede seguir creciendo, porque los otros se pasaron del tope de lo creíble, el único partido que puede crecer y exhibir ese crecimiento es la Fuerza del Pueblo”, enfatizó el presidente de la Fuerza del Pueblo.

*Alianza con el pueblo dominicano*

Leonel Fernández refirió que la Fuerza del Pueblo debe hacer una alianza con la sociedad, la cual debe ser, vincularse con los líderes comunitarios, «no salir de los barrios, estar en Vietnam, Catanga, 24 de abril, Villas Agrícolas, estar ahí vinculado constantemente como se ha estado haciendo, esa es la verdadera alianza que existe, vincularse de corazón con el pueblo dominicano», subrayó.

En el encuentro estuvo presente además el secretario general de la Fuerza del Pueblo, Antonio Peña Florián, (Peñita); el coordinador político, Radhamés Jiménez Peña y otros dirigentes y miembros de esa organización política.

Jandy Ventura deleitó a los presentes con varias interpretaciones musicales en homenaje a su padre, el extinto merenguero y miembro de la Dirección Política de la Fuerza del Pueblo, Johnny Ventura.

Comparte esto: Twitter

Facebook

"
https://www.elviajero.com.do/category/politica/page/1,https://www.elviajero.com.do/francisco-dominguez-brito-se-reune-con-el-senador-de-nueva-york-adriano-espaillat/,"Nueva York. – El aspirante a la presidencia de la República Dominicana, Francisco Domínguez Brito, se reunió con el senador por el Estado de Nueva York, el dominicano Adriano Espaillat, donde abordaron temas como la educación, seguridad, entre otros de interés para la comunidad dominicana que reside en los Estados Unidos.

Ambos políticos dominicanos analizaron la situación política que atraviesa Haití, tras el magnicidio del presidente Jovenel Moise, así como los actos de delincuencia en las provincias fronterizas, en los que podrían estar vinculadas grupos de pandillas haitianas.

Al responder una pregunta del miembro del comité político del Partido de la Liberación Dominicana (PLD), sobre los niveles de escolaridad de los dominicanos en Nueva York, Espaillat, aseguró, que la nueva clase media de esta ciudad, estará encabezada por la comunidad dominicana, la cual cuenta con unos 50 mil estudiantes universitarios.

Francisco Domínguez Brito manifestó, que la educación es clave para el progreso social “tenemos que reforzar el bachillerato a distancia en línea para que los que deseen puedan completarlo desde los Estados Unidos, lo que les facilita tanto el acceso a un trabajo como a la universidad”.

Junto a Francisco, estuvieron en el encuentro, su esposa Elizabeth Burgos e hijo Javier Domínguez, Frank Cortorreal, Presidente Estatal del PLD en New York, Luís Lithgow, Director Operativo, Alejandro Montas, Miembro del Comité Político del PLD, Iván Lorenzo, Senador por Elías Piña y Miembro del Comité Político del PLD, Víctor Suárez, Diputado por Santiago y Miembro del Comité Político del PLD, Magda Rodríguez, Diputada por Santiago, Carlos Sánchez, Diputado Circunscripción 3 del Distrito Nacional, Glenn Davis Felipe y Anderson Montero, miembros del Comité Central del PLD, entre otros.

Comparte esto: Twitter

Facebook

"
